epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1984,0.81152,4.59415,1.03397,0.00468,0.04825,0.01255,0.01165,0.38553,4.12003,0.80314,4.27556e-05,4.27556e-05,4.27556e-05
2,36.7485,0.53537,3.66573,0.94168,0.71462,0.12623,0.13292,0.12676,0.3515,2.92164,0.82387,8.46684e-05,8.46684e-05,8.46684e-05
3,47.3037,0.50566,2.91875,0.94002,0.65965,0.32235,0.32011,0.30234,0.3525,1.957,0.84016,0.000125151,0.000125151,0.000125151
4,57.6984,0.4643,2.27653,0.92931,0.66286,0.48754,0.49753,0.47894,0.32638,1.44904,0.8513,0.000123565,0.000123565,0.000123565
5,68.0484,0.44289,1.92095,0.92002,0.64669,0.6432,0.616,0.59444,0.30573,1.17887,0.83325,0.00012142,0.00012142,0.00012142
6,78.4233,0.42514,1.63666,0.90817,0.59634,0.71307,0.64785,0.62881,0.29108,1.0869,0.82411,0.000119275,0.000119275,0.000119275
7,88.7412,0.39877,1.48912,0.89365,0.61147,0.77954,0.7057,0.68161,0.28853,0.96287,0.82439,0.00011713,0.00011713,0.00011713
